Registration State,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Issuer Code,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Date First Observed,Law Section,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Unregistered Vehicle?,Vehicle Year,Feet From Curb,Vehicle Color,Issuing Agency
NJ,2013-07-26,14,SDN,INFIN,,112.0,939820.0,7.67,,QN,O,71-00,'YELLOWSTONE BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,Gray-Silver,X
PA,2013-07-20,16,SDN,FORD,,18.0,346147.0,17.57,,NYC,F,548,'W 48 ST',,SEC-408,,YYYYYYB,8.0,19.0,O,,0,Gray-Silver,X
NJ,2015-07-13,19,SDN,CHEVR,,71.0,935057.0,,,KG,F,477,'NEW YORK AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-06-16,20,SUBN,LEXUS,2015.49,109.0,2390.0,4.67,,QN,,,'BROADWAY STATION',,SEC-408,,BBBBBBB,3.0,5.0,O,2009.0,0,Gray-Silver,X
99,2015-06-26,40,SUBN,MERCU,2016.08,67.0,953713.0,23.92,,KG,F,164,'LINDEN BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-07-03,46,VAN,DODGE,2017.5,47.0,955789.0,22.62,,BX,F,3764,'WHITE PLAINS RD',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2015-06-04,20,SUBN,TOYOT,,67.0,955535.0,19.57,,KG,F,868,'WINTHROP ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2003.0,0,Gray-Silver,X
PA,2015-06-25,24,P-U,DODGE,2016.0,122.0,388.0,13.0,,RC,,,'GREAT KILLS PARK',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
99,2013-07-29,56,SDN,BMW,2013.63,49.0,100470.0,9.62,,BX,F,1400,'PELHAM PKWY',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2013-07-14,46,SDN,BMW,2015.26,30.0,600110.0,15.08,,NYC,O,3536,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,2012.0,0,Gray-Silver,X
NJ,2015-05-31,20,SDN,NISSA,,32.0,942830.0,20.0,,NYC,F,158,'W 128 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2013-07-30,17,SUBN,FORD,2014.25,110.0,546851.0,14.08,,QN,F,79-01,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,Gray-Silver,X
NJ,2013-07-08,24,SDN,HONDA,,49.0,100470.0,10.55,,BX,F,1400,'PELHAM PKWY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NJ,2013-07-22,53,SUBN,HONDA,,49.0,100445.0,16.25,,BX,F,1400,'PELHAM PARKWAY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-06-27,19,SDN,TOYOT,2016.03,120.0,953313.0,6.47,,RC,F,206,'HAMILTON AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,1998.0,0,Gray-Silver,X
NY,2015-07-02,71,SDN,MAZDA,2016.1,47.0,956217.0,23.8,,BX,F,3966,'BRONX BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,1998.0,0,Gray-Silver,X
VA,2015-07-03,46,SUBN,TOYOT,,47.0,956320.0,23.12,,BX,F,4744,'WHITE PLAINS RD',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-06-09,98,SDN,HYUND,2017.33,70.0,953289.0,19.22,,KG,F,835,'E 22 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,Gray-Silver,X
NY,2015-06-23,19,SUBN,DODGE,2015.73,43.0,943976.0,1.08,,BX,F,1757,'STORY AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,Gray-Silver,X
NY,2015-06-12,24,SDN,TOYOT,2016.42,122.0,525.0,12.67,,RC,,,'BOAT LAONCIT PKG LOT',,SEC-408,,BBBBBBB,ALL,ALL,O,2010.0,0,Gray-Silver,X
NY,2015-06-29,67,SDN,TOYOT,2017.15,75.0,931306.0,,,KG,F,790,,,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,Gray-Silver,X
NY,2015-07-13,38,SUBN,VOLKS,2017.33,84.0,346075.0,16.53,,KG,F,186,'REMSEN ST',,SEC-408,,YYYYYYB,9.0,19.0,O,2013.0,0,Gray-Silver,X
NY,2013-08-12,98,SDN,NISSA,2013.47,43.0,900756.0,18.92,,BX,F,448,'BEACH AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,Gray-Silver,X
NY,2013-08-10,41,SUBN,Others,2013.65,73.0,954142.0,23.25,,KG,F,528,'ROCKAWAY AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2007.0,0,Gray-Silver,X
NY,2015-06-27,40,SUBN,INFIN,2017.38,67.0,954897.0,2.17,,KG,F,,'MARTENSE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,5,Gray-Silver,X
NY,2013-08-05,71,SDN,NISSA,2015.06,104.0,948932.0,1.92,,QN,F,5928,'FLUSHING AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2003.0,0,Gray-Silver,X
NY,2013-07-18,71,SDN,HONDA,2015.14,113.0,953248.0,2.38,,QN,F,118-40,'192 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2003.0,0,Gray-Silver,X
NC,2013-08-07,74,SDN,HONDA,2013.0,115.0,914613.0,10.82,,,I,,'S/S 34 AVE 20',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-06-26,40,SDN,VOLVO,2016.96,75.0,927729.0,7.92,,KG,F,,'BLAKE AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,1987.0,3,Gray-Silver,X
NJ,2013-07-07,14,SDN,MAZDA,,6.0,932264.0,23.15,,NYC,F,425,'W 13TH',,SEC-408,,BBBBBBB,23.0,6.0,O,,0,Gray-Silver,X
NY,2013-08-28,17,SDN,NISSA,2013.57,32.0,650968.0,11.65,,NYC,F,2238,'FIFTH AVENUE',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,Gray-Silver,X
NY,2015-06-18,98,SUBN,JEEP,2016.26,102.0,934036.0,,,QN,F,86-01,'102 AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2014.0,0,Gray-Silver,X
CT,2013-08-23,38,SDN,Others,,115.0,,17.55,,QN,F,,'DELTA SHUTTLE METER',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
99,2013-07-26,45,VAN,CHEVR,2013.58,113.0,43485.0,11.75,11.7,QN,F,,'JFKIA TERMINAL 1',2013-07-26,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,Gray-Silver,X
NJ,2013-07-24,66,TRAILER,,,90.0,587132.0,7.68,,KG,F,568,'MESEROLE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2013-07-22,21,SUBN,TOYOT,2014.33,5.0,859944.0,11.75,,,O,3,'PIKE ST',,SEC-408,,YBBBBBB,,23.98,O,2012.0,0,Gray-Silver,X
NY,2015-06-30,19,SDN,HONDA,2016.25,103.0,2591.0,23.95,,QN,F,93-02,'SUTPHIN BLVD',,SEC-408,,BBBBBBB,,,O,2014.0,0,Gray-Silver,X
NY,2013-08-10,21,SDN,CHRYS,2015.49,47.0,515335.0,8.17,,BX,F,3470,'BOSTON ROAD',,SEC-408,,YYYYYYB,8.0,8.5,O,2013.0,0,Gray-Silver,X
PA,2015-07-17,20,SUBN,HONDA,,44.0,954392.0,20.75,,BX,F,1214,NELSON,,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NJ,2015-06-16,67,SDN,CHRYS,,105.0,956530.0,10.6,,QN,F,,'145 DR',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2013-08-13,45,SDN,LINCO,2013.66,44.0,935350.0,9.45,,BX,O,28,'E 161 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2013-07-23,17,,NISSA,2013.57,32.0,650968.0,11.98,,NYC,F,2238,FIFTHAVENUE,,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,Gray-Silver,X
NY,2015-06-06,71,SDN,DODGE,2017.54,63.0,118.0,14.47,,KG,F,3159,'FLATBUSH AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2010.0,0,Gray-Silver,X
NY,2013-07-26,46,SDN,HYUND,2014.5,63.0,916677.0,22.97,,KG,F,2050,'E 38 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,Gray-Silver,X
NY,2013-08-25,45,SUBN,CHEVR,2015.95,113.0,41395.0,19.35,,QN,,,'TERM5 ARRIVALS JFK',,SEC-408,,BBBBBBB,ALL,ALL,O,2013.0,0,Gray-Silver,X
NY,2013-07-21,98,SUBN,Others,2015.02,40.0,949102.0,5.83,,BX,F,700,'E 136 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2015-06-26,67,SDN,HONDA,2016.84,67.0,954082.0,1.18,,KG,F,339,'MARTENSE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2015.0,0,Gray-Silver,X
NY,2015-06-20,21,SDN,HONDA,2016.64,112.0,921378.0,7.67,,,F,110-11,'QUEENS BLVD',,SEC-408,,YYYYYYB,7.5,8.0,O,2012.0,0,Gray-Silver,X
NJ,2015-06-28,40,SUBN,CHEVR,,44.0,948938.0,1.57,,BX,F,162,'E 174TH ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2013-08-10,71,SDN,MERCU,2015.3,73.0,953878.0,,,KG,O,149,'NEWPORT ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
MI,2015-07-21,21,SUBN,INFIN,,76.0,351242.0,8.7,,KG,F,32,'WYCKOFF ST',,SEC-408,,BYBBBBB,8.5,10.0,O,,0,Gray-Silver,X
MN,2013-07-11,21,TRAILER,MERCU,,19.0,534126.0,8.18,,NYC,O,163,'EAST 86TH STREET',,SEC-408,,YYYYYYB,8.0,8.5,O,,0,White,X
NY,2013-07-29,21,SDN,Others,2014.74,108.0,515599.0,8.1,,QN,O,43-04,'47 AVE',,SEC-408,,YYYYYYB,8.0,8.5,O,2011.0,0,White,X
NC,2013-07-31,85,Others,ISUZU,,115.0,949295.0,5.78,1.0,QN,F,,'W/B SIDE OF 114 STRE',2013-07-31,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
PA,2015-05-16,17,SDN,CHRYS,2016.0,78.0,921009.0,17.15,17.08,KG,F,521,'11TH ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
99,2015-07-06,20,VAN,CHEVR,,1.0,351998.0,12.62,,NYC,O,434,'GREENWICH ST',,SEC-408,,YYYYYBB,8.0,18.0,O,,0,White,X
NY,2015-06-17,40,VAN,GMC,2016.36,107.0,944966.0,1.33,,QN,F,141-27,'78 RD',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,White,X
NJ,2013-07-17,51,VAN,CHEVR,,43.0,239.0,18.97,,BX,F,28,'METROPOLITAN AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2013-08-02,71,SDN,NISSA,2015.03,40.0,953702.0,23.0,,BX,O,700,'BROOK AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,White,X
NY,2013-07-02,14,DELV,HINO,2014.41,14.0,926586.0,9.73,,NYC,F,216,'W 44 ST',,SEC-408,,YYYYYYY,ALL,ALL,O,2012.0,0,White,X
NY,2013-07-14,14,DELV,CHEVR,,1.0,950311.0,14.42,14.33,NYC,O,2,BROADWAY,2013-07-14,SEC-408,,BBBBBBB,ALL,ALL,O,1988.0,0,White,X
NY,2013-08-05,46,DELV,MERCU,2014.0,110.0,941191.0,11.38,,QN,F,97-30,'57 AVENUE',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,White,X
NY,2013-07-18,10,DELV,INTER,2013.91,84.0,330002.0,10.53,,KG,F,,'S/S HOYT ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,White,X
NY,2013-08-12,46,SDN,FORD,,71.0,100317.0,4.67,,KG,F,489,CLARKSON,,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
99,2015-07-10,19,SDN,FORD,2016.41,103.0,103620.0,,,QN,F,93-02,'SUTPHIN BLVD',,SEC-408,,BBBBBBB,,,O,2005.0,0,White,X
FL,2015-06-27,40,TRAILER,GMC,,100.0,951367.0,14.75,,QN,F,197,'B 100 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,2,White,X
PA,2013-08-05,20,SUBN,HUMME,2013.75,108.0,923406.0,9.47,,QN,F,,'S/S 43 AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
PA,2015-07-08,19,SDN,,,90.0,347649.0,14.8,,KG,F,556,'DRIGGS AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2015-06-21,46,SDN,TOYOT,2015.49,46.0,955685.0,3.63,3.63,BX,F,317,'E 181',,SEC-408,,BBBBBBB,ALL,ALL,O,2013.0,0,White,X
NY,2013-07-19,14,VAN,CHEVR,,84.0,330002.0,8.25,,KG,F,,'W/S BRIDGE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2009.0,0,White,X
NJ,2013-08-06,17,,CHEVR,,13.0,903588.0,12.0,,NYC,F,,'S/S E 26 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2015-06-30,53,SDN,CHRYS,2016.47,44.0,955012.0,1.5,,BX,O,188,'E 167 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,White,X
NY,2015-06-10,20,SDN,LINCO,2016.38,100.0,819.0,17.62,,QN,,,'RIIS PARK',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
99,2015-07-15,67,SDN,VOLVO,,5.0,346115.0,17.92,,NYC,F,9,'OLIVER ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2015-07-02,24,SDN,ACURA,2015.73,63.0,401.0,17.2,,KG,,,'FISHERMAN PKG.',,SEC-408,,BBBBBBB,ALL,ALL,O,2009.0,0,White,X
NY,2013-08-02,40,UTIL,GMC,,84.0,347470.0,14.07,,KG,O,29,'GALLATIN PL',,SEC-408,,BBBBBBB,ALL,ALL,O,2009.0,1,White,X
NY,2015-06-27,66,SDN,MAZDA,2016.63,123.0,937168.0,3.58,,RC,O,295,'ELLIS ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2014.0,0,White,X
NY,2015-06-23,20,SUBN,DODGE,2017.08,43.0,938377.0,,,BX,F,62,'CLASON POINT LANE NO',,SEC-408,,BBBBBBB,ALL,ALL,O,1997.0,0,White,X
NY,2001-08-01,46,DELV,Others,2014.25,115.0,952140.0,16.02,,QN,F,79-05,'ROOSEVELT AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,White,X
NJ,2013-08-21,17,SUBN,GMC,,,,9.68,,KG,O,110,'SCHERMERHORN STREET',,SEC-408,,YYYYYYY,ALL,ALL,O,,0,White,X
NY,2015-06-28,71,SDN,LINCO,2015.91,75.0,917338.0,16.17,,KG,F,630,'STANLEY AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,White,X
NJ,2015-06-30,19,DELV,FRUEH,,73.0,936192.0,14.75,,KG,F,1626,,,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NJ,2013-07-25,66,TRAILER,,,41.0,668710.0,10.13,,BX,F,398,'LONGFELLOW AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2013-07-23,21,SDN,MAZDA,2014.0,50.0,528338.0,7.92,,BX,F,5591,BROADWAY,,SEC-408,,YYYYYYB,7.5,8.0,O,,0,White,X
NY,2013-07-17,14,VAN,FRUEH,,10.0,949891.0,2.25,,NYC,F,606,'WEST 28 STREET',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,White,X
NY,2013-08-01,19,SDN,TOYOT,2014.16,110.0,941191.0,10.4,,QN,F,56-17,'JUNCTION BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,White,X
NY,2015-06-28,71,SUBN,HONDA,,123.0,943536.0,19.67,,RC,O,73,'WILBUR ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2014.0,0,White,X
99,2013-07-18,70,SDN,TOYOT,2013.42,,953024.0,2.5,2.5,QN,F,119-12,'192 STREET',2013-07-18,SEC-408,,BBBBBBB,ALL,ALL,O,2012.0,0,White,X
NJ,2015-07-13,14,TRAILER,FRUEH,,5.0,351998.0,9.67,,NYC,F,111,'JOHN ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2013-07-28,40,VAN,,2014.08,106.0,931792.0,22.97,,QN,F,2021,'GREENE AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2015-07-05,19,SDN,LINCO,2016.5,103.0,239053.0,10.33,10.33,QN,F,93-02,'SUTPHIN BLVD',,SEC-408,,BBBBBBB,,,O,2004.0,0,White,X
NY,2015-07-08,21,SDN,NISSA,2015.95,79.0,358160.0,9.65,,KG,F,469,'EASTERN PKWY',,SEC-408,,YBYYBBB,9.5,11.0,O,2011.0,0,White,X
NJ,2015-07-14,46,DELV,FORD,,1.0,921906.0,11.53,,NYC,F,42,'TRINITY PL',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2015-05-15,62,SDN,HONDA,2016.01,114.0,253755.0,9.58,,QN,F,18-31,'HAZEN ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,White,X
NY,2015-06-19,62,SDN,Others,2017.18,123.0,215005.0,22.95,,RC,O,287,'ELLIS ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2015.0,0,White,X
NY,2013-08-23,21,VAN,DODGE,,66.0,537866.0,8.25,,KG,F,4716,'18TH AVE',,SEC-408,,YYYYYYB,8.0,8.5,O,,0,White,X
NY,2013-08-09,78,DELV,FORD,2014.86,73.0,933601.0,4.5,,KG,F,1501,'EAST NEW YORK',,SEC-408,,YYYYBBB,21.0,5.0,O,2002.0,0,White,X
NY,2015-06-27,71,SUBN,ROVER,2017.08,100.0,550.0,10.22,,QN,F,,'RIIS PARK MAIN PKGN',,SEC-408,,BBBBBBB,ALL,ALL,O,2013.0,0,White,X
NY,2013-07-16,16,VAN,FORD,2014.08,13.0,101073.0,15.28,,,,,'R/O 462 1ST AVE NY N',,SEC-408,,BBBBBBB,ALL,ALL,O,2009.0,0,White,X
NY,2013-08-08,46,P-U,CHEVR,2014.83,112.0,943387.0,10.25,,QN,O,64-11,'99 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2012.0,0,White,X
NJ,2015-06-19,78,DELV,INTER,,113.0,943895.0,,,QN,O,1101,,,SEC-408,,BBBBBBB,21.0,5.0,O,,0,White,X
NY,2013-07-30,71,REFG,HINO,2014.16,41.0,706380.0,23.38,,BX,,,'NORTH PARK LOT INSID',,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,White,X
NY,2013-08-22,83,SUBN,FORD,2015.25,49.0,940862.0,1.22,,BX,F,1728,'FILLMORE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,White,X
NY,2013-07-18,46,VAN,FORD,2013.61,84.0,330002.0,10.7,,KG,O,1,'SMITH ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,White,X
NJ,2013-07-22,20,VAN,CHEVR,,13.0,949307.0,11.38,,NYC,O,16,'WEST 16 ST',,SEC-408,,YYYYYBB,8.0,18.0,O,,0,White,X
NY,2013-07-19,20,P-U,CHEVR,,6.0,936950.0,13.65,,NYC,F,117,'W 13TH ST',,SEC-408,,YYYYYYB,8.0,18.0,O,2012.0,0,White,X
NY,2013-07-23,40,SDN,VOLVO,2013.61,13.0,939906.0,1.1,,NYC,F,34,'E 18',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
RI,2013-07-28,84,TRAILER,Others,,47.0,941763.0,17.17,,BX,F,,'PEARTREE AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,White,X
NY,2016-12-20,38,SDN,BMW,2018.35,19.0,529707.0,6.13,,NYC,F,465,'MAIN STREET',,SEC-408,,BBBBBBB,ALL,ALL,O,2014.0,0,White,X
NY,2015-06-19,14,SUBN,CHRYS,2015.94,123.0,215005.0,22.08,,RC,F,28,'GIFFORDS LANE',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,White,X
NY,2015-06-26,14,SUBN,FORD,2017.3,44.0,923029.0,17.37,,BX,F,653,'RNER AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2014.0,0,White,X
